code,name,level,parent_code,full_name,sort_order
CN,中国,country,,中国,1
11,北京市,province,CN,中国北京市,11
12,天津市,province,CN,中国天津市,12
13,河北省,province,CN,中国河北省,13
14,山西省,province,CN,中国山西省,14
15,内蒙古自治区,province,CN,中国内蒙古自治区,15
21,辽宁省,province,CN,中国辽宁省,21
22,吉林省,province,CN,中国吉林省,22
23,黑龙江省,province,CN,中国黑龙江省,23
31,上海市,province,CN,中国上海市,31
32,江苏省,province,CN,中国江苏省,32
33,浙江省,province,CN,中国浙江省,33
34,安徽省,province,CN,中国安徽省,34
35,福建省,province,CN,中国福建省,35
36,江西省,province,CN,中国江西省,36
37,山东省,province,CN,中国山东省,37
41,河南省,province,CN,中国河南省,41
42,湖北省,province,CN,中国湖北省,42
43,湖南省,province,CN,中国湖南省,43
44,广东省,province,CN,中国广东省,44
45,广西壮族自治区,province,CN,中国广西壮族自治区,45
46,海南省,province,CN,中国海南省,46
50,重庆市,province,CN,中国重庆市,50
51,四川省,province,CN,中国四川省,51
52,贵州省,province,CN,中国贵州省,52
53,云南省,province,CN,中国云南省,53
54,西藏自治区,province,CN,中国西藏自治区,54
61,陕西省,province,CN,中国陕西省,61
62,甘肃省,province,CN,中国甘肃省,62
63,青海省,province,CN,中国青海省,63
64,宁夏回族自治区,province,CN,中国宁夏回族自治区,64
65,新疆维吾尔自治区,province,CN,中国新疆维吾尔自治区,65
1101,市辖区,city,11,中国北京市市辖区,1101
1201,市辖区,city,12,中国天津市市辖区,1201
1301,石家庄市,city,13,中国河北省石家庄市,1301
1302,唐山市,city,13,中国河北省唐山市,1302
1303,秦皇岛市,city,13,中国河北省秦皇岛市,1303
1304,邯郸市,city,13,中国河北省邯郸市,1304
1305,邢台市,city,13,中国河北省邢台市,1305
1306,保定市,city,13,中国河北省保定市,1306
1307,张家口市,city,13,中国河北省张家口市,1307
1308,承德市,city,13,中国河北省承德市,1308
1309,沧州市,city,13,中国河北省沧州市,1309
1310,廊坊市,city,13,中国河北省廊坊市,1310
1311,衡水市,city,13,中国河北省衡水市,1311
1401,太原市,city,14,中国山西省太原市,1401
1402,大同市,city,14,中国山西省大同市,1402
1403,阳泉市,city,14,中国山西省阳泉市,1403
1404,长治市,city,14,中国山西省长治市,1404
1405,晋城市,city,14,中国山西省晋城市,1405
1406,朔州市,city,14,中国山西省朔州市,1406
1407,晋中市,city,14,中国山西省晋中市,1407
1408,运城市,city,14,中国山西省运城市,1408
1409,忻州市,city,14,中国山西省忻州市,1409
1410,临汾市,city,14,中国山西省临汾市,1410
1411,吕梁市,city,14,中国山西省吕梁市,1411
1501,呼和浩特市,city,15,中国内蒙古自治区呼和浩特市,1501
1502,包头市,city,15,中国内蒙古自治区包头市,1502
1503,乌海市,city,15,中国内蒙古自治区乌海市,1503
1504,赤峰市,city,15,中国内蒙古自治区赤峰市,1504
1505,通辽市,city,15,中国内蒙古自治区通辽市,1505
1506,鄂尔多斯市,city,15,中国内蒙古自治区鄂尔多斯市,1506
1507,呼伦贝尔市,city,15,中国内蒙古自治区呼伦贝尔市,1507
1508,巴彦淖尔市,city,15,中国内蒙古自治区巴彦淖尔市,1508
1509,乌兰察布市,city,15,中国内蒙古自治区乌兰察布市,1509
1522,兴安盟,city,15,中国内蒙古自治区兴安盟,1522
1525,锡林郭勒盟,city,15,中国内蒙古自治区锡林郭勒盟,1525
1529,阿拉善盟,city,15,中国内蒙古自治区阿拉善盟,1529
2101,沈阳市,city,21,中国辽宁省沈阳市,2101
2102,大连市,city,21,中国辽宁省大连市,2102
2103,鞍山市,city,21,中国辽宁省鞍山市,2103
2104,抚顺市,city,21,中国辽宁省抚顺市,2104
2105,本溪市,city,21,中国辽宁省本溪市,2105
2106,丹东市,city,21,中国辽宁省丹东市,2106
2107,锦州市,city,21,中国辽宁省锦州市,2107
2108,营口市,city,21,中国辽宁省营口市,2108
2109,阜新市,city,21,中国辽宁省阜新市,2109
2110,辽阳市,city,21,中国辽宁省辽阳市,2110
2111,盘锦市,city,21,中国辽宁省盘锦市,2111
2112,铁岭市,city,21,中国辽宁省铁岭市,2112
2113,朝阳市,city,21,中国辽宁省朝阳市,2113
2114,葫芦岛市,city,21,中国辽宁省葫芦岛市,2114
2201,长春市,city,22,中国吉林省长春市,2201
2202,吉林市,city,22,中国吉林省吉林市,2202
2203,四平市,city,22,中国吉林省四平市,2203
2204,辽源市,city,22,中国吉林省辽源市,2204
2205,通化市,city,22,中国吉林省通化市,2205
2206,白山市,city,22,中国吉林省白山市,2206
2207,松原市,city,22,中国吉林省松原市,2207
2208,白城市,city,22,中国吉林省白城市,2208
2224,延边朝鲜族自治州,city,22,中国吉林省延边朝鲜族自治州,2224
2301,哈尔滨市,city,23,中国黑龙江省哈尔滨市,2301
2302,齐齐哈尔市,city,23,中国黑龙江省齐齐哈尔市,2302
2303,鸡西市,city,23,中国黑龙江省鸡西市,2303
2304,鹤岗市,city,23,中国黑龙江省鹤岗市,2304
2305,双鸭山市,city,23,中国黑龙江省双鸭山市,2305
2306,大庆市,city,23,中国黑龙江省大庆市,2306
2307,伊春市,city,23,中国黑龙江省伊春市,2307
2308,佳木斯市,city,23,中国黑龙江省佳木斯市,2308
2309,七台河市,city,23,中国黑龙江省七台河市,2309
2310,牡丹江市,city,23,中国黑龙江省牡丹江市,2310
2311,黑河市,city,23,中国黑龙江省黑河市,2311
2312,绥化市,city,23,中国黑龙江省绥化市,2312
2327,大兴安岭地区,city,23,中国黑龙江省大兴安岭地区,2327
3101,市辖区,city,31,中国上海市市辖区,3101
3201,南京市,city,32,中国江苏省南京市,3201
3202,无锡市,city,32,中国江苏省无锡市,3202
3203,徐州市,city,32,中国江苏省徐州市,3203
3204,常州市,city,32,中国江苏省常州市,3204
3205,苏州市,city,32,中国江苏省苏州市,3205
3206,南通市,city,32,中国江苏省南通市,3206
3207,连云港市,city,32,中国江苏省连云港市,3207
3208,淮安市,city,32,中国江苏省淮安市,3208
3209,盐城市,city,32,中国江苏省盐城市,3209
3210,扬州市,city,32,中国江苏省扬州市,3210
3211,镇江市,city,32,中国江苏省镇江市,3211
3212,泰州市,city,32,中国江苏省泰州市,3212
3213,宿迁市,city,32,中国江苏省宿迁市,3213
3301,杭州市,city,33,中国浙江省杭州市,3301
3302,宁波市,city,33,中国浙江省宁波市,3302
3303,温州市,city,33,中国浙江省温州市,3303
3304,嘉兴市,city,33,中国浙江省嘉兴市,3304
3305,湖州市,city,33,中国浙江省湖州市,3305
3306,绍兴市,city,33,中国浙江省绍兴市,3306
3307,金华市,city,33,中国浙江省金华市,3307
3308,衢州市,city,33,中国浙江省衢州市,3308
3309,舟山市,city,33,中国浙江省舟山市,3309
3310,台州市,city,33,中国浙江省台州市,3310
3311,丽水市,city,33,中国浙江省丽水市,3311
3401,合肥市,city,34,中国安徽省合肥市,3401
3402,芜湖市,city,34,中国安徽省芜湖市,3402
3403,蚌埠市,city,34,中国安徽省蚌埠市,3403
3404,淮南市,city,34,中国安徽省淮南市,3404
3405,马鞍山市,city,34,中国安徽省马鞍山市,3405
3406,淮北市,city,34,中国安徽省淮北市,3406
3407,铜陵市,city,34,中国安徽省铜陵市,3407
3408,安庆市,city,34,中国安徽省安庆市,3408
3410,黄山市,city,34,中国安徽省黄山市,3410
3411,滁州市,city,34,中国安徽省滁州市,3411
3412,阜阳市,city,34,中国安徽省阜阳市,3412
